drugName,condition,Side_Effect,effectiveness
A / B Otic,Otitis Media,pain,75.81%
Abacavir / lamivudine,HIV Infection,"nausea, blood count, viral load, lethargy",75.44%
Abatacept,"Juvenile Idiopathic Arthritis, Rheumatoid Arthritis","Arthritis, flare, tired, headache, shortness of breath, nausea, fatigue, vomiting, lumbar puncture, pain, swelling, stiffness, ache, redness",53.73%
Abilify," Agitated State, Autism, Bipolar Disorde, Borderline Personality Disorde, Depression, Major Depressive Disorde, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia, Tourette's Syndrome","Akathisia, anger, fall, tired, ataxia, mental disorder, polychondritis, vomiting, heartburn, feeling hopeless, sudden death, exhaustion, surgery, fever, nausea and vomiting, tremor, diarrhea, obsessive thoughts, chondritis, muscle tightness, fatigue, Anxiety, weight gain, retch, difficulty, dizzy spells, worry, alcoholic, hypomania, redness, increased appetite, mania, hypotension, Paranoia, compulsions, affective disorder, constipation, sweat, hunger, drowsiness, suicidal, Dystonia, numbness, aggression, purging, ache, Dyskinesia, crying, binge eating, emotional disorder, negative thoughts, rale, Mania, groggy, postpartum depression, muscle twitch, gag, anxiety disorder, eye rolling, Autism, overweight, pain, burning sensation, autism, Depression, erectile dysfunction, Tremor, nausea, stiffness, underweight, frustration, withdraw, shortness of breath, lethargy, milky, food craving, sleepy, agitation, myalgia, blood test, panic, elation, screaming, stress, delusion, gambling, nightmare, dizziness, malaise, homeless, chill, moody, Scar, spasm, night sweat, headache",47.77%
Abiraterone,Prostate Cance,"diarrhea, difficulty, pain, sweat, Fatigue",65.39%
Acamprosate,Alcohol Dependence,"dependence, seizure, fall, tired, alcoholism, suicidal, stress at work, panic, screaming, overweight, pain, stress, ache, hangover, diarrhea, nausea, fatigue, blackout, weight gain, difficulty, dizziness, worry, frustration, withdraw, alcoholic, family stress",64.36%
Acanya,Acne,"scab, birth control, pain, stress, redness",52.63%
Acarbose,"Diabetes, Type 2","aura, pain, diarrhea",28.81%
Accupril,Heart Failure,cough,17.38%
Acetaminophen,"Muscle Pain, Pain, Sciatica, eve","fever, headache, wound, pain, dizziness, sweat, autism, ache, worry, Migraine",57.60%
Acetaminophen / aspirin,"Back Pain, Pain",pain,66.25%
Acetaminophen / aspirin / caffeine,"Migraine, Osteoarthritis, Pain/Feve","hangover, numbness, anger, headache, nausea, vomiting, heartburn, birth control, terrify, vertigo, pain, groggy, tinnitus, aura, ache, worry, Migraine",57.29%
Acetaminophen / aspirin / caffeine / salicylamide,"Migraine, Pain","headache, pain, ache, Pain",76.15%
Acetaminophen / butalbital,Headache,"sleepy, blood test, surgery, headache, ache, Migraine",66.68%
Acetaminophen / butalbital / caffeine,"Headache, Not Listed / Othe","sleepy, fever, liver function test, numbness, Tension, spasm, withdraw, fall, headache, nausea, tired, flare, ache, pain, lethargy, Headache, aura, drowsiness, Migraine",62.44%
Acetaminophen / butalbital / caffeine / codeine,Headache,"headache, vomiting, pain management, pain, constipation, stress, Headache, overdose, ache",69.70%
Acetaminophen / caffeine,Headache,"headache, ache, sleeplessness",62.27%
Acetaminophen / caffeine / dihydrocodeine,Pain,"numbness, headache, pain, constipation, ache, surgery",60.04%
Acetaminophen / caffeine / isometheptene mucate,Headache,"headache, pain, ache",67.00%
Acetaminophen / caffeine / magnesium salicylate,Muscle Pain,pain,67.08%
Acetaminophen / chlorpheniramine / phenylephrine,"Cold Symptoms, Sinus Symptoms","sleepy, seizure, headache, cough, pain, ache",42.59%
Acetaminophen / codeine,"Cough, Osteoarthritis, Pain","nerve block, sleepy, chondromalacia, fall, tired, vomiting, chondroma, pain management, constipation, glaucoma surgery, exhaustion, surgery, drowsiness, fever, panic, excruciating pain, intensive care, traction, pain, Headache, x-ray, ache, scratch, nausea, anal infection, cough, pericoronitis, dizziness, oral surgery, swelling, hysterectomy, tooth infection, withdraw, headache, tooth extraction, chest discomfort, groggy, Pain, opiates",38.21%
Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Cold Symptoms,"cough, Hypertension",60.62%
Acetaminophen / dextromethorphan / phenylephrine,Sinus Symptoms,"headache, pain, ache",57.00%
Acetaminophen / dextromethorphan / pseudoephedrine,Cold Symptoms,cough,68.00%
