,drugName,condition,Side_Effect,effectiveness
0,A + D Cracked Skin Relief,Bacterial Skin Infection,,78.54%
1,A / B Otic,Otitis Media,pain,75.81%
2,Abacavir / lamivudine,HIV Infection,"nausea, blood count, viral load, lethargy",75.44%
3,Abacavir / lamivudine / zidovudine,HIV Infection,,61.33%
4,Abatacept,"Juvenile Idiopathic Arthritis, Rheumatoid Arthritis","Arthritis, flare, tired, headache, shortness of breath, nausea, fatigue, vomiting, lumbar puncture, pain, swelling, stiffness, ache, redness",53.73%
5,Abilify," Agitated State, Autism, Bipolar Disorde, Borderline Personality Disorde, Depression, Major Depressive Disorde, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia, Tourette's Syndrome","Akathisia, anger, fall, tired, ataxia, mental disorder, polychondritis, vomiting, heartburn, feeling hopeless, sudden death, exhaustion, surgery, fever, nausea and vomiting, tremor, diarrhea, obsessive thoughts, chondritis, muscle tightness, fatigue, Anxiety, weight gain, retch, difficulty, dizzy spells, worry, alcoholic, hypomania, redness, increased appetite, mania, hypotension, Paranoia, compulsions, affective disorder, constipation, sweat, hunger, drowsiness, suicidal, Dystonia, numbness, aggression, purging, ache, Dyskinesia, crying, binge eating, emotional disorder, negative thoughts, rale, Mania, groggy, postpartum depression, muscle twitch, gag, anxiety disorder, eye rolling, Autism, overweight, pain, burning sensation, autism, Depression, erectile dysfunction, Tremor, nausea, stiffness, underweight, frustration, withdraw, shortness of breath, lethargy, milky, food craving, sleepy, agitation, myalgia, blood test, panic, elation, screaming, stress, delusion, gambling, nightmare, dizziness, malaise, homeless, chill, moody, Scar, spasm, night sweat, headache",47.77%
6,Abiraterone,Prostate Cance,"diarrhea, difficulty, pain, sweat, Fatigue",65.39%
7,Acamprosate,Alcohol Dependence,"dependence, seizure, fall, tired, alcoholism, suicidal, stress at work, panic, screaming, overweight, pain, stress, ache, hangover, diarrhea, nausea, fatigue, blackout, weight gain, difficulty, dizziness, worry, frustration, withdraw, alcoholic, family stress",64.36%
8,Acanya,Acne,"scab, birth control, pain, stress, redness",52.63%
9,Acarbose,"Diabetes, Type 2","aura, pain, diarrhea",28.81%
10,Accupril,Heart Failure,cough,17.38%
11,Acetaminophen,"Muscle Pain, Pain, Sciatica, eve","fever, headache, wound, pain, dizziness, sweat, autism, ache, worry, Migraine",57.60%
12,Acetaminophen / aspirin,"Back Pain, Pain",pain,66.25%
13,Acetaminophen / aspirin / caffeine,"Migraine, Osteoarthritis, Pain/Feve","hangover, numbness, anger, headache, nausea, vomiting, heartburn, birth control, terrify, vertigo, pain, groggy, tinnitus, aura, ache, worry, Migraine",57.29%
14,Acetaminophen / aspirin / caffeine / salicylamide,"Migraine, Pain","headache, pain, ache, Pain",76.15%
15,Acetaminophen / butalbital,Headache,"sleepy, blood test, surgery, headache, ache, Migraine",66.68%
16,Acetaminophen / butalbital / caffeine,"Headache, Not Listed / Othe","sleepy, fever, liver function test, numbness, Tension, spasm, withdraw, fall, headache, nausea, tired, flare, ache, pain, lethargy, Headache, aura, drowsiness, Migraine",62.44%
17,Acetaminophen / butalbital / caffeine / codeine,Headache,"headache, vomiting, pain management, pain, constipation, stress, Headache, overdose, ache",69.70%
18,Acetaminophen / caffeine,Headache,"headache, ache, sleeplessness",62.27%
19,Acetaminophen / caffeine / dihydrocodeine,Pain,"numbness, headache, pain, constipation, ache, surgery",60.04%
20,Acetaminophen / caffeine / isometheptene mucate,Headache,"headache, pain, ache",67.00%
21,Acetaminophen / caffeine / magnesium salicylate,Muscle Pain,pain,67.08%
22,Acetaminophen / caffeine / pyrilamine,Premenstrual Syndrome,,35.00%
23,Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Cold Symptoms,,11.90%
24,Acetaminophen / chlorpheniramine / phenylephrine,"Cold Symptoms, Sinus Symptoms","sleepy, seizure, headache, cough, pain, ache",42.59%
25,Acetaminophen / codeine,"Cough, Osteoarthritis, Pain","nerve block, sleepy, chondromalacia, fall, tired, vomiting, chondroma, pain management, constipation, glaucoma surgery, exhaustion, surgery, drowsiness, fever, panic, excruciating pain, intensive care, traction, pain, Headache, x-ray, ache, scratch, nausea, anal infection, cough, pericoronitis, dizziness, oral surgery, swelling, hysterectomy, tooth infection, withdraw, headache, tooth extraction, chest discomfort, groggy, Pain, opiates",38.21%
26,Acetaminophen / dexbrompheniramine / pseudoephedrine,"Allergic Rhinitis, Sinus Symptoms",,66.58%
27,Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Cold Symptoms,"cough, Hypertension",60.62%
28,Acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Cold Symptoms,,73.33%
29,Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,Cold Symptoms,,70.00%
30,Acetaminophen / dextromethorphan / phenylephrine,Sinus Symptoms,"headache, pain, ache",57.00%
31,Acetaminophen / dextromethorphan / pseudoephedrine,Cold Symptoms,cough,68.00%
32,Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,"sleepy, numbness, Tension, surgery, tired, headache, nausea, fatigue, panic, visual disturbance, ache, difficulty, pain, dizziness, Headache, aura, myalgia, Aura, occipital neuralgia, Migraine",65.11%
33,Acetaminophen / diphenhydramine,"Headache, Insomnia, Pain","sleepy, palpitation, hangover, withdraw, fall, headache, bite, nausea, tired, nightmare, groggy, unwell, pain, nervousness, drug interaction, ache, Migraine, redness",52.58%
34,Acetaminophen / diphenhydramine / phenylephrine,Cold Symptoms,"headache, ache",60.17%
35,Acetaminophen / hydrocodone,"Back Pain, Cough, Not Listed / Othe, Pain, Rheumatoid Arthritis","nerve block, anger, fall, tired, vomiting, pain management, Fatigue, exhaustion, surgery, scar tissue, Cough, Arthritis, diarrhea, tarsal tunnel syndrome, drug abuser, bite, wound, fatigue, retch, gastric bypass, worry, cold sweat, fibroma, neuropathic pain, cubital tunnel syndrome, redness, dependence, adverse effect, sleeplessness, spinal disorder, moan, constipation, sweat, drowsiness, numbness, hip surgery, ache, crying, swelling, wisdom teeth removal, fibromatosis, groggy, Pain, stupor, breakthrough pain, Kidney infection, Injury, sciatica, traction, pain, burning sensation, adverse reaction, kidney infection, Headache, Migraine, hangover, nausea, Scleroderma, cough, oral surgery, underweight, withdraw, shooting pain, shortness of breath, tooth extraction, Nausea, spinal operation, sleepy, compression fracture, Sciatica, myalgia, spinal fusion surgery, Cardiomyopathy, blood test, screaming, stress, Surgery, massage, nightmare, syringomyelia, dizziness, chill, Scar, spasm, flare, headache, low back pain, opiates",59.20%
36,Acetaminophen / oxycodone,"Chronic Pain, Not Listed / Othe, Pain","sleepy, dependence, spondylolisthesis, chronic fatigue syndrome, sleeplessness, breakthrough pain, anger, fall, tired, vomiting, heartburn, spinal disorder, lung transplant, pain management, constipation, brain damage, sweat, agitation, nervousness, liver transplant, myalgia, exhaustion, anxiety disorder, surgery, drowsiness, suicidal, radius fracture, physiotherapy, sciatica, bone graft, panic, excruciating pain, elation, traction, pain, stress, overdose, x-ray, ache, Surgery, Arthritis, diarrhea, kyphosis, crying, nausea, drug abuser, wound, fatigue, retch, gastric bypass, phantom pain, dizziness, oral surgery, pain back, Constipation, sports injury, worry, chill, hysterectomy, cold sweat, elderly, spasm, night sweat, withdraw, flare, alcoholic, headache, lightheadedness, Pain, groggy, accident at work, Back pain, opiates, redness",62.50%
37,Acetaminophen / pamabrom,Back Pain,"sciatica, pain, myalgia",66.39%
38,Acetaminophen / pamabrom / pyrilamine,Premenstrual Syndrome,,64.50%
39,Acetaminophen / phenylephrine,"Not Listed / Othe, Sinus Symptoms","headache, pain, ache",53.98%
40,Acetaminophen / phenyltoloxamine,"Headache, Influenza, Pain","sleepy, headache, Pain, pain, ache, surgery",72.06%
41,Acetaminophen / propoxyphene,"Not Listed / Othe, Osteoarthritis, Pain","sleepy, seizure, anger, tired, pain management, constipation, myalgia, suicidal, drowsiness, surgery, Epilepsy, pain, ache, Migraine, worry, Vasculitis, spasm, withdraw, flare, headache, lumbar puncture, Pain, opiates",56.81%
42,Acetaminophen / pseudoephedrine,Sinus Symptoms,,69.50%
43,Acetaminophen / tramadol,"Not Listed / Othe, Pain, Rheumatoid Arthritis","dependence, sleeplessness, tired, vomiting, constipation, sweat, myalgia, drowsiness, surgery, pain, analgesia, ache, diarrhea, nausea, fatigue, Constipation, chill, withdraw, flare, headache, Pain, Nausea, opiates, cyst removal",55.84%
44,Acetazolamide,"Edema, Epilepsy, Glaucoma, Hydrocephalus, Hypokalemic Periodic Paralysis, Mountain Sickness / Altitude Sickness, Pseudotumor Cerebri, Seizure Prevention","Paralysis, anger, fall, tired, drowsiness, surgery, numbness, pain, stress, ache, Hypertension, nausea, fatigue, nightmare, dizziness, swelling, flushing, worry, spasm, autoimmune disorder, headache, lightheadedness, lumbar puncture, birth control, redness",46.01%
45,Acetic acid,Wound Cleansing,wound,22.50%
46,Acetic acid / antipyrine / benzocaine / polycosanol,Ear Wax Impaction,ache,100.00%
47,Acetic acid / hydrocortisone,Otitis Externa,,53.75%
48,Acetohydroxamic acid,Urinary Tract Infection,,66.00%
49,Acetylcysteine,"Diagnostic Bronchograms, Expectoration","cough, adverse effect, spasm, smoker",72.74%
50,Acitretin,Psoriasis,"flare, adverse effect, tired, bite, unwell, dry throat, cough, swelling, malaise, redness",51.37%
51,Acnex,Acne,,85.00%
52,Acrivastine / pseudoephedrine,"Allergic Rhinitis, Nasal Congestion",,71.10%
53,Actemra,"Juvenile Idiopathic Arthritis, Rheumatoid Arthritis","dyspnea, flare, anger, headache, blood count, fatigue, pain, stiffness, stress, ache",56.53%
54,Acthar,"Allergies, Multiple Sclerosis, Rheumatoid Arthritis, Sarcoidosis",flare,58.35%
55,Acticlate,Acne,"headache, pain, ache",60.98%
56,Actifed,"Allergic Rhinitis, Cold Symptoms","cough, sleepy, swelling, drowsiness",58.26%
